file,size_bytes,sha256,first_h1
.nojekyll,55,54a19604056ad053708b998c2e76259af2699bd9cdb79620ec5cd1ed33b91987,Disable Jekyll so files with underscores are served.
01_MANIFEST_and_OVERVIEW.md,193476,7c46b9b91da03442862892ff5cab2095345e89add1a66cfa8f8f8895dd6645e6,01 MANIFEST and OVERVIEW.md
02_CANON_and_PRINCIPLES.md,1454522,0970a9684f01b56e587aef23a10e80af09a6c18f4c276af1b0225d143e334e02,02 CANON and PRINCIPLES.md
03_ARCHITECTURE_and_SYSTEM_DESIGN.md,765755,afdca8cd79b1e04eb15e1725f0eb87df64f96bab0d4648e82c5a0b54ff3dfa7f,03 ARCHITECTURE and SYSTEM DESIGN.md
04_FACETS_VOICES_and_PROTOCOLS.md,349220,08f0917f0cecdf73806e0c167037c574ce7d701fea9ae8a12be023e3bbefc7ca,04 FACETS VOICES and PROTOCOLS.md
05_METRICS_and_RHYTHM_INDEX.md,91398,7beecb375b79b9a6a29f7feac0fa415db142257aed4b242adc5ae016752d82bb,05 METRICS and RHYTHM INDEX.md
06_PHASES_STATES_PIPELINES.md,207507,44aa4fc9055b1a1e313da5b32190e4edb7df5837309edf05faeb07052630a6db,06 PHASES STATES PIPELINES.md
07_MEMORY_SYSTEM.md,646514,4fad2c179692ade586d92d13ee39124e272a65fe74ed6062ba1650559e23cdb8,07 MEMORY SYSTEM.md
08_RITUALS_and_RITES.md,306198,6b77db2b426e6844ac55de735091ca1d2d77bd3f85a8f8d79394a2f28783be71,08 RITUALS and RITES.md
09_SECURITY_SAFETY_COMPLIANCE.md,30448,0ef00a796a40a2e45fd627c3d842d5f21c6cbc427449927c86f03b9ac7636cb0,09 SECURITY SAFETY COMPLIANCE.md
10_RAG_SOURCES_and_SIFT.md,23286,e4f8907268655b42cf4ba77b929b84436e805300ee55fa3ab39d738c9f828c0f,10 RAG SOURCES and SIFT.md
11_FORMATS_TEMPLATES_STYLES.md,88385,49e2a325501f6eb3334f1784ab5be6e174f25eacc7bc397602aab943998a4861,11 FORMATS TEMPLATES STYLES.md
12_WORKFLOWS_AUTOMATIONS.md,113,354420a318f8a0ecea9f28e864a8cd1aa981e43f5dc23d99d33972bef85145cd,12 WORKFLOWS AUTOMATIONS.md
13_IMPLEMENTATION_CODE_CORE.md,3429385,edc5115e04b5efbe77a6d2a6a95ae4a628c35d78180aa7df9f60ba7171ebe41f,13 IMPLEMENTATION CODE CORE.md
14_TOOLS_CONNECTORS.md,111,133b7853a0ec7530b2062a05c493f1a3190aa4eb4fc66a643326bc04223a9a47,14 TOOLS CONNECTORS.md
15_TESTS_CHECKLISTS_VALIDATORS.md,115,54401984a0b4bd3c534917dc9cf4e92f9c7634dae2606d8bb66bf9e5b680ef6a,15 TESTS CHECKLISTS VALIDATORS.md
16_OPERATIONS_and_CANON_REVIEW.md,1086236,c8f65b060e7d484b1c1ddd520a499955ca136eaf50e8ad1722781b52e482e6a3,16 OPERATIONS and CANON REVIEW.md
17_JOURNALS_LOGS_SHADOW_part1.md,16140773,f01a980cc556c223ab36f970529d927cdf9c18637bca8c79f3a99be507d8abbb,17 JOURNALS LOGS SHADOW.md
17_JOURNALS_LOGS_SHADOW_part2.md,15639026,9136769bbae25fc1ade02ad6699a88659bb49af0b4018ee11e355c48deb5822e,## user — 06:25:23 CEST
17_JOURNALS_LOGS_SHADOW_part3.md,15925695,16d341ed1ae16587a245bceb3a29f9f5ac053d641f1e28788bdd259d9d186762,## 2. **Базовая цифровая грамотность**
18_GUIDES_EXAMPLES_TUTORIALS.md,94736,dcc8493ee3fc79483f5032d05374696720b069dec07d1c6cfdf22ba381dba001,18 GUIDES EXAMPLES TUTORIALS.md
19_PRESS_NEWS_RELEASES.md,115,51dace6de2eeb5149d1faa7831f1bf947d3445916d9287593db863c85afb8341,19 PRESS NEWS RELEASES.md
20_GLOSSARY_ONTOLOGY_SEMANTICS.md,409756,5cb39c906bea5c14d5dfc427b890cdf4460c468ce9c29ac640dd7b6c6df9c82b,20 GLOSSARY ONTOLOGY SEMANTICS.md
21_DECISION_TREES_and_POLICIES.md,42191,6e58da560875b93612a314ab4de8adcc89994d8df5dc4e029bfeb62bc2b65c2f,21 DECISION TREES and POLICIES.md
22_MAPPINGS_CROSSWALKS_INDEX.md,34793,cdaa1fb114fb423acab7c8e25e7890fa4f6e164caa09c40f4f509b029157da20,22 MAPPINGS CROSSWALKS INDEX.md
DIALOGS_FULL_v3.md,23799182,f4b64f0a7c4004d47e1a552cf179dae40bacea170994da9d22aa61f7702daa87,Диалоги Искры — Полный архив v3 (временная шкала)
MANTRA.md,9320,4f73040e5d2d083899371311270a5e42f8f59a7265a032439cc9996533f5cb11,LIBER IGNIS — **MANTRA.md**
index.md,2004,89407d01c36de56cdde3a590c1c1c26e096ad345525b52ac511d7929d1b2922f,Добро пожаловать в liberiskraOm
