file,cid,had_∆DΩΛ,format_signature,iso_dates_count,non_iso_dates_found,appended_delta_block
01_MANIFEST_and_OVERVIEW.md,CANON.01.MANIFEST,True,False,13,0,False
02_CANON_and_PRINCIPLES.md,CANON.02.CANON,True,True,52,6,False
03_ARCHITECTURE_and_SYSTEM_DESIGN.md,CANON.03.ARCHITECTURE,True,False,51,12,False
04_FACETS_VOICES_and_PROTOCOLS.md,CANON.04.FACETS,True,False,1,0,False
05_METRICS_and_RHYTHM_INDEX.md,CANON.05.METRICS,True,False,1,0,False
06_PHASES_STATES_PIPELINES.md,CANON.06.PHASES,False,False,0,0,True
07_MEMORY_SYSTEM.md,CANON.07.MEMORY,True,False,55,9,False
08_RITUALS_and_RITES.md,CANON.08.RITUALS,True,False,3,0,False
09_SECURITY_SAFETY_COMPLIANCE.md,CANON.09.SECURITY,False,False,0,0,True
10_RAG_SOURCES_and_SIFT.md,CANON.10.RAG,True,False,0,1,False
11_FORMATS_TEMPLATES_STYLES.md,CANON.11.FORMATS,True,True,0,0,False
12_WORKFLOWS_AUTOMATIONS.md,CANON.12.WORKFLOWS,False,False,0,0,False
13_IMPLEMENTATION_CODE_CORE.md,CANON.13.IMPLEMENTATION,True,True,17,24,False
14_TOOLS_CONNECTORS.md,CANON.14.TOOLS,False,False,0,0,False
15_TESTS_CHECKLISTS_VALIDATORS.md,CANON.15.TESTS,False,False,0,0,False
16_OPERATIONS_and_CANON_REVIEW.md,CANON.16.OPERATIONS,True,True,29,8,False
17_JOURNALS_LOGS_SHADOW_part1.md,CANON.17.JOURNALS,False,False,278,104,True
17_JOURNALS_LOGS_SHADOW_part2.md,CANON.17.JOURNALS,True,True,116,1106,False
17_JOURNALS_LOGS_SHADOW_part3.md,CANON.17.JOURNALS,True,False,297,1125,False
18_GUIDES_EXAMPLES_TUTORIALS.md,CANON.18.GUIDES,True,False,1,0,False
19_PRESS_NEWS_RELEASES.md,CANON.19.PRESS,False,False,0,0,False
20_GLOSSARY_ONTOLOGY_SEMANTICS.md,CANON.20.GLOSSARY,False,False,27,0,False
21_DECISION_TREES_and_POLICIES.md,CANON.21.DECISION,True,False,0,0,False
22_MAPPINGS_CROSSWALKS_INDEX.md,CANON.22.MAPPINGS,False,False,0,0,False
DIALOGS_FULL_v3.md,CANON.DIALOGS,True,False,344,1167,False
MANTRA.md,CANON.MANTRA,True,False,0,0,False
index.md,CANON.INDEX,True,False,0,0,False
